"IMPORT OF HAZARDOUS WASTES AND OTHER WASTES IN 2007 
(as provided by Parties)",Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
BE,Y31,,,,,,9749.938573000001,,DE,,R4
BE,Y31,,,,,,47.24,,FR,,R4
BE,Y31,,,,,,38.06,,GB,,R4
BE,Y31,,,,,,312.08,,NL,,R4
BE,Y31,,,,,,116.391,,TH,,R4
BE,Y31,,,,H11,,1.598,,AT,,R4
BE,Y31,,,,H11,,13.06,,CZ,,R4
BE,Y31,,,,H11,,6532.228254,,FR,,R4
BE,Y31,,,,H11,,577.96,,JP,,R4
BE,Y31,,,,H11,,212.328,,LU,,R4
BE,Y31,,,,H11,,3021.5621340000002,,NL,,R4
BE,Y31,,,,H12,,21.56,,BR,,R4
BE,Y31,,,,H12,,20.0,,BY,,R4
BE,Y31,,,,H12,,120.36,,CZ,,R4
BE,Y31,,,,H12,,289.42,,ES,,R4
BE,Y31,,,,H12,,1098.284444,,FR,,R4
BE,Y31,,,,H12,,1345.469,,GB,,R4
BE,Y31,,,,H12,,62.0375,,HU,,R4
BE,Y31,,,,H12,,25.3,,IE,,R4
BE,Y31,,,,H13,,45.74,,LU,,R3
BE,Y31,,,,H13,,45.51,,HU,,R4
BE,Y31,,,,H13,,1.066,,LU,,R4
BE,Y31,,,,H6.1,,1617.558766,,CA,,R4
BE,Y31,,,,H6.1,,127.972,,CH,,R4
BE,Y31,,,,H6.1,,4087.51,,DE,,R4
BE,Y31,,,,H6.1,,370.767,,FI,,R4
BE,Y31,,,,H6.1,,5649.361572,,FR,,R4
BE,Y31,,,,H6.1,,40.64,,GB,,R4
BE,Y31,,,,H6.1,,3.73,,ZA,,R4
BE,Y31,,,,H8,,11787.945962,,DE,,R4
BE,Y31,,,,H8,,4979.395025000001,,FR,,R4
BE,Y31,,,,H8,,9075.960645,,GB,,R4
BE,Y31,,,,H8,,1471.134,,IT,,R4
BE,Y31,,,,H8,,8380.348422000001,,NL,,R4
BE,Y31,,,,H8,,139.838,,NL,,R12
BE,Y34,,,,H3,,1450.3813770000002,,GB,,R5
BE,Y34,,,,H6.1,,469.2,,GB,,R5
BE,Y34,,,,H8,,1050.668814,,FR,D9,
BE,Y34,,,,H8,,69.76,,IE,D9,
BE,Y34,,,,H8,,14.099,,LU,D10,
BE,Y34,,,,H8,,688.9606650000001,,NL,D10,
BE,Y34,,,,H8,,337.52,,AT,,R6
BE,Y34,,,,H8,,5855.503398,,DE,,R6
BE,Y34,,,,H8,,115.48,,FR,,R6
BE,Y34,,,,H8,,9668.934381,,NL,,R6
BE,Y35,,,,H8,,53.308665999999995,,LU,D10,
BE,Y35,,,,H8,,448.14,,NL,D10,
BE,Y35,,,,H8,,129.24,,DE,,R6
BE,Y36,,,,H11,,5.72,,LU,D1,
BE,Y39,,,,H6.1,,9.94,,GR,D10,
BE,Y40,,,,H11,,101.02,,NL,D10,
BE,Y41,,,,H3,,5078.645087,,DE,D10,
BE,Y41,,,,H3,,1413.14,,NL,D10,
BE,Y41,,,,H3,,185.29,,DE,,R5
BE,Y41,,,,H6.1,,55.644,,AT,,R2
BE,Y41,,,,H6.1,,213.790769,,FR,,R2
BE,Y41,,,,H6.1,,1094.501,,GB,,R2
BE,Y41,,,,H6.1,,104.949,,IT,,R2
BE,Y41,,,,H6.1,,5.7,,LU,,R2
BE,Y41,,,,H6.1,,202.936,,NL,,R2
BE,Y42,,,,,,93.12,,IE,D10,
BE,Y42,,,,,,51.838,,FR,,R7
BE,Y42,,,,H12,,481.89,,OM,D10,
BE,Y42,,,,H12,,9.0,,NL,,R2
BE,Y42,,,,H12,,2994.2,,DE,,R3
BE,Y42,,,,H12,,10.22,,LU,,R3
BE,Y42,,,,H13,,4.38,,AT,,R2
BE,Y42,,,,H3,,71.5475,,IE,D10,
BE,Y42,,,,H3,,36.74,,LU,D10,
BE,Y42,,,,H3,,887.18,,NL,D10,
BE,Y42,,,,H3,,10.2285,,AT,,R2
BE,Y42,,,,H3,,70.8,,NL,,R2
BE,Y42,,,,H8,,1.525,,NL,,R6
BE,Y45,,,,H12,,832.087,,GB,,R3
BE,Y45,,,,H12,,63.049,,NL,,R3
BE,Y45,,,,H12,,137.596,,NL,,R4
BE,Y5,,,,H11,,3158.4,,DE,,R3
BE,Y4,,,,H5.1,,7.06,,LU,D10,
BE,Y5,,,,,,2350.4254680000004,,NL,,R1
BE,Y5,,,,,,3259.1967189999996,,DE,,R3
BE,Y5,,,,,,121475.22527299995,,NL,,R3
BE,Y5,,,,,,9408.134820000001,,FR,,R12
BE,Y5,,,,,,2001.041953,,NL,,R12
BE,Y5,,,,H0,,674.38,,NL,,R3
BE,Y5,,,,H1,,800.0,,NL,,R13
BE,Y5,,,,H4.1,,2629.056415000001,,NL,,R5
BE,Y5,,,,H4.1,,15.06,,FR,,R12
BE,Y8,,,,,,594.1508100000001,,NL,,R4
BE,Y9,,,,,,194.29,,FR,D9,
BE,Y9,,,,,,1053.399,,NL,,R9
BE,Y10,,,,H11,,25.432,,ES,,R4
BE,Y11,,,,,,909.98,,NL,,R3
BE,Y13,,,,,,628.59,,NL,D9,
BE,Y16,,,,,,175.02,,NL,,R4
BE,Y16,,,,,,10.168,,NL,,R11
BE,Y17,,,,,,528.71,,DE,,R4
BE,Y17,,,,,,632.960625,,US,,R4
BE,Y17,,,,H11,,326.78,,GB,,R4
BE,Y17,,,,H12,,21.74,,BR,,R4
BE,Y17,,,,H12,,4.9,,GB,,R4
BE,Y17,,,,H12,,73.677,,ZA,,R4
BE,Y18,,,,,,371.3,,FR,D9,
BE,Y18,,,,,,1542.773963,,FR,,R3
BE,Y18,,,,,,861.551,,DE,,R4
BE,Y18,,,,,,14254.325,,FR,,R5
BE,Y18,,,,,,14944.125193000009,,NL,,R5
BE,Y18,,,,,,61.92,,FR,,R12
BE,Y18,,,,H11,,445.854,,FI,,R8
BE,Y18,,,,H12,,3559.259767,,NL,,R5
BE,Y18,,,,H3,,22.488,,FR,,R4
BE,Y18,,,,H4.1,,725.42,,LU,,R12
BE,Y18,,,,H4.2,,462.546946,,GB,,R8
BE,Y18,,,,H4.2,,33.34,,NO,,R8
BE,Y22,,,,,,1026.12,,DE,,R4
BE,Y22,,,,,,172.96,,DK,,R4
BE,Y22,,,,,,1270.955,,NL,,R4
BE,Y23,,,,,,2565.181,,FR,,R4
BE,Y23,,,,,,1384.74,,NL,,R4
BE,Y23,,,,H6.1,,762.464864,,DE,,R4
BE,Y26,,,,,,26.0,,TR,,R13
BE,Y31,,,,,,17.44,,FR,,R4
BE,Y31,,,,,,807.366076,,NL,,R4
BE,Y31,,,,,,379.06416599999994,,FR,,R5
BE,Y31,,,,H11,,110.72,,NL,,R4
BE,Y31,,,,H12,,467.44933299999997,,FR,,R4
BE,Y31,,,,H12,,24.22,,HU,,R4
BE,Y31,,,,H12,,486.234,,HU,,R13
BE,Y31,,,,H6.1,,70.2,,DE,,R4
BE,Y31,,,,H8,,178.32,,FR,,R4
BE,Y31,,,,H8,,9646.714456,,NL,,R4
BE,Y34,,,,H8,,1492.415129,,DE,,R6
BE,Y45,,,,,,797.87125,,FR,,R4
BE,Y31,,,,H8,,9546.0,,NL,,R4
BE,Y45,,,,,,6.0,,NL,D15,
BE,Y_,,,,H6.2,,51668.0,,FR,,R1
BE,Y_,,,,H6.2,,760.0,,LU,,R1
BE,Y_,,,,H6.2,,2830.0,,LU,,R1
BE,Y_,,,,,,98.0,,NL,,R5
BE,Y_,,,,H6.1,,562.0,,ES,,R1
BE,Y_,,,,H6.1,,350.0,,FR,,R7
BE,Y_,,,,H6.1,,60.0,,CH,,R7
BE,Y_,,,,H6.1,,190.0,,GB,,R7
BE,Y_,,,,H6.1,,410.0,,DE,,R7
BE,Y_,,,,H6.1,,10.0,,NL,,R7
BE,Y_,,,,H6.1,,113.0,,FR,,R1
BE,Y_,,,,H6.1,,15.0,,DE,,R7
BE,Y_,,,,H6.1,,2.0,,LU,,R5
BE,Y_,,,,H6.1,,88.0,,NL,,R5
BE,Y_,,,,H6.1,,530.0,,NL,,R3
BE,Y_,,,,H6.1,,55.0,,LU,,R3
BE,Y_,,,,H6.1,,37.0,,FR,,R3
BE,Y_,,,,H6.1,,80.0,,DE,,R13
BE,Y_,,,,H6.1,,730.0,,LU,,R4
BE,Y_,,,,H6.1,,105.0,,IE,,R4
BE,Y_,,,,H6.1,,78.0,,NL,,R12
BE,Y_,,,,H6.1,,32.0,,FR,D9,
BE,Y_,,,,H6.1,,1.0,,LU,,R5
BE,Y_,,,,H6.1,,435.0,,LU,,R3
BE,Y_,,,,H6.1,,107.0,,DE,,R3
BE,Y_,,,,H6.1,,363.0,,LU,,R1
BE,Y2,,,,H6.1,,90.0,,DE,,R3
BE,Y2,,,,H6.1,,10882.0,,IE,,R13
BE,Y2,,,,H6.1,,25.0,,NL,,R3
BE,Y2,,,,H6.1,,60.0,,LU,,R3
BE,Y2,,,,H6.1,,20.0,,IE,,R4
BE,Y2,,,,H6.1,,10.0,,FR,,R13
BE,Y2,,,,H6.1,,8.0,,DE,,R7
BE,Y2,,,,H6.1,,49.0,,IE,,R4
BE,Y2,,,,H6.1,,203.0,,IE,,R1
BE,Y2,,,,H6.1,,220.0,,IE,,R13
BE,Y2,,,,H6.1,,365.0,,IE,,R4
BE,Y2,,,,H6.1,,26.0,,NL,,R7
BE,Y2,,,,H6.1,,3085.0,,NL,,R5
BE,Y2,,,,H6.1,,271.0,,FR,,R1
BE,Y2,,,,H6.1,,163.0,,FR,,R7
BE,Y2,,,,H6.1,,275.0,,CH,,R7
BE,Y2,,,,H6.1,,50.0,,GB,,R7
BE,Y2,,,,H6.1,,18.0,,NL,,R7
BE,Y2,,,,H6.1,,970.0,,FR,,R1
BE,Y2,,,,H6.1,,2.0,,DE,,R7
BE,Y5,,,,H11,,223.0,,NL,,R1
BE,Y5,,,,H6.1,,530.0,,NL,,R13
BE,Y5,,,,H6.1,,10.0,,FR,,R13
BE,Y5,,,,H6.1,,195.0,,CH,,R7
BE,Y5,,,,H6.1,,340.0,,DE,,R7
BE,Y5,,,,H6.1,,165.0,,GB,,R7
BE,Y5,,,,H6.1,,45.0,,FR,,R6
BE,Y6,,,,H6.1,,671.0,,NL,,R3
BE,Y6,,,,H6.1,,10.0,,LU,,R3
BE,Y6,,,,H6.1,,141.0,,NL,,R13
BE,Y6,,,,H6.1,,321.0,,FR,,R5
BE,Y6,,,,H6.1,,108.0,,LU,,R3
BE,Y6,,,,H6.1,,261.0,,NL,,R3
BE,Y6,,,,H6.1,,4662.0,,NL,,R1
BE,Y6,,,,H6.1,,233.0,,FR,,R7
BE,Y8,,,,H3,,24.0,,FR,,R1
BE,Y8,,,,H3,,288.0,,LU,,R13
BE,Y8,,,,H3,,4.0,,GB,,R7
BE,Y8,,,,H3,,576.0,,NL,,R9
BE,Y8,,,,H3,,2345.0,,FR,,R9
BE,Y8,,,,H3,,1203.0,,NL,,R9
BE,Y8,,,,H3,,155.0,,FR,,R3
BE,Y8,,,,H6.1,,6.0,,LU,,R13
BE,Y8,,,,H6.1,,382.0,,FR,,R7
BE,Y8,,,,H6.1,,2876.0,,DE,,R7
BE,Y8,,,,H6.1,,310.0,,NL,,R7
BE,Y8,,,,H6.1,,1053.0,,DE,,R13
BE,Y8,,,,H6.1,,20.0,,ES,,R7
BE,Y8,,,,H6.1,,43.0,,ES,,R1
BE,Y8,,,,H6.1,,1354.0,,LU,,R13
BE,Y8,,,,H6.1,,560.0,,NL,,R13
BE,Y8,,,,H6.1,,225.0,,DE,,R4
BE,Y8,,,,H6.1,,73.0,,LU,,R1
BE,Y9,,,,H3,,153.0,,IT,,R3
BE,Y9,,,,H3,,530.0,,NL,,R9
BE,Y9,,,,H3,,2918.0,,FR,,R9
BE,Y9,,,,H3,,4913.0,,FR,,R9
BE,Y9,,,,H3,,463.0,,FR,,R9
BE,Y9,,,,H3,,1423.0,,DE,,R1
BE,Y9,,,,H3,,1112.0,,FR,,R9
BE,Y9,,,,H3,,127.0,,LU,,R1
BE,Y9,,,,H3,,45.0,,FR,,R12
BE,Y9,,,,H3,,2893.0,,FR,,R9
BE,Y12,,,,H6.1,,148.0,,IE,,R1
BE,Y12,,,,H6.1,,78.0,,FR,,R3
BE,Y12,,,,H6.1,,155.0,,NL,,R1
BE,Y12,,,,H6.1,,485.0,,FR,,R13
BE,Y12,,,,H6.1,,58.0,,LU,,R13
BE,Y12,,,,H6.1,,167.0,,NL,,R13
BE,Y12,,,,H6.1,,17.0,,FR,,R1
BE,Y12,,,,H6.1,,60.0,,FR,,R12
BE,Y12,,,,H6.1,,24.0,,ES,,R3
BE,Y12,,,,H6.1,,50.0,,NL,,R3
BE,Y12,,,,H6.1,,454.0,,DE,,R5
BE,Y12,,,,H6.1,,786.0,,DE,,R3
BE,Y12,,,,H6.1,,436.0,,FR,,R12
BE,Y12,,,,H6.1,,327.0,,FR,,R1
BE,Y12,,,,H6.1,,159.0,,FR,,R3
BE,Y12,,,,H6.1,,550.0,,GB,,R13
BE,Y12,,,,H6.1,,88.0,,NL,,R13
BE,Y12,,,,H6.1,,110.0,,NL,,R1
BE,Y12,,,,H6.1,,51.0,,ES,,R1
BE,Y12,,,,H6.1,,14.0,,NL,,R1
BE,Y12,,,,H6.1,,33.0,,LU,,R8
BE,Y12,,,,H6.1,,42.0,,FR,,R1
BE,Y12,,,,H6.1,,120.0,,FR,,R12
BE,Y13,,,,H6.1,,170.0,,LU,,R13
BE,Y13,,,,H6.1,,2328.0,,FR,,R1
BE,Y13,,,,H6.1,,1696.0,,NL,,R1
BE,Y13,,,,H6.1,,28.0,,FR,,R12
BE,Y13,,,,H6.1,,24.0,,FR,,R1
BE,Y13,,,,H6.1,,23.0,,FR,,R1
BE,Y13,,,,H6.1,,148.0,,FR,,R12
BE,Y13,,,,H6.1,,71.0,,LU,D9,
BE,Y13,,,,H6.1,,35.0,,LU,,R13
BE,Y13,,,,H6.1,,12.0,,LU,,R12
BE,Y13,,,,H6.1,,46.0,,LU,D8,
BE,Y13,,,,H6.1,,301.0,,IE,,R1
BE,Y13,,,,H6.1,,45.0,,FR,,R3
BE,Y13,,,,H6.1,,48.0,,LU,,R3
BE,Y13,,,,H6.1,,30.0,,FR,,R1
BE,Y13,,,,H6.1,,117.0,,FR,,R12
BE,Y13,,,,H6.1,,514.0,,LU,,R1
BE,Y13,,,,H6.1,,638.0,,LU,,R13
BE,Y13,,,,H6.1,,35.0,,GB,,R7
BE,Y14,,,,H6.1,,40.0,,FR,,R13
BE,Y14,,,,H6.1,,10.0,,FR,,R1
BE,Y14,,,,H6.1,,1500.0,,FR,,R4
BE,Y14,,,,H6.1,,231.0,,IE,,R6
BE,Y14,,,,H6.1,,292.0,,FR,,R12
BE,Y14,,,,H6.1,,115.0,,FR,,R4
BE,Y16,,,,H6.1,,215.0,,FR,,R4
BE,Y17,,,,H13,,21.0,,NL,,R4
BE,Y17,,,,H6.1,,937.0,,DE,,R4
BE,Y17,,,,H6.1,,3130.0,,NL,,R4
BE,Y17,,,,H6.1,,275.0,,FR,,R5
BE,Y17,,,,H6.1,,122.0,,FR,,R12
BE,Y17,,,,H6.1,,194.0,,IE,,R4
BE,Y17,,,,H6.1,,31.0,,LU,D9,
BE,Y17,,,,H6.1,,27.0,,FR,,R9
BE,Y17,,,,H6.1,,698.0,,NL,D9,
BE,Y17,,,,H6.1,,438.0,,CH,,R4
BE,Y17,,,,H6.1,,4416.0,,DE,,R4
BE,Y17,,,,H6.1,,401.0,,DK,,R4
BE,Y17,,,,H6.1,,242.0,,FI,,R4
BE,Y17,,,,H6.1,,3037.0,,FR,,R4
BE,Y17,,,,H6.1,,438.0,,NL,,R4
BE,Y17,,,,H6.1,,120.0,,FR,,R5
BE,Y17,,,,H6.1,,92.0,,PL,,R4
BE,Y17,,,,H6.1,,250.0,,NL,,R4
BE,Y17,,,,H6.1,,1575.0,,FR,,R4
BE,Y17,,,,H6.1,,91.0,,AT,,R4
BE,Y17,,,,H6.1,,405.0,,CH,,R4
BE,Y17,,,,H6.1,,76.0,,FR,,R12
BE,Y17,,,,H6.1,,6866.0,,DE,,R4
BE,Y17,,,,H6.1,,260.0,,DK,,R4
BE,Y17,,,,H6.1,,2336.0,,ES,,R4
BE,Y17,,,,H6.1,,21.0,,FR,,R4
BE,Y17,,,,H6.1,,3.0,,GR,,R4
BE,Y17,,,,H6.1,,47.0,,FR,,R12
BE,Y17,,,,H6.1,,3125.0,,FR,,R4
BE,Y17,,,,H6.1,,352.0,,IE,,R4
BE,Y17,,,,H6.1,,450.0,,LU,,R4
BE,Y17,,,,H6.1,,15.0,,NO,,R4
BE,Y17,,,,H6.1,,31.0,,FR,,R4
BE,Y17,,,,H6.1,,12.0,,FR,,R5
BE,Y17,,,,H6.1,,234.0,,NL,,R4
BE,Y17,,,,H6.1,,16.0,,NL,,R4
BE,Y17,,,,H6.1,,25.0,,DE,,R4
BE,Y17,,,,H6.1,,20.0,,FR,,R4
BE,Y17,,,,H6.1,,15.0,,LU,,R4
BE,Y17,,,,H6.1,,70.0,,DE,,R13
BE,Y17,,,,H6.1,,3.0,,LU,,R12
BE,Y17,,,,H6.1,,1505.0,,IT,,R4
BE,Y17,,,,H6.1,,2.0,,LU,,R4
BE,Y17,,,,H6.1,,74.0,,LU,,R5
BE,Y17,,,,H6.1,,323.0,,NL,D9,
BE,Y17,,,,H6.1,,16.0,,DE,,R1
BE,Y17,,,,H6.1,,328.0,,LU,,R1
BE,Y17,,,,H6.1,,44.0,,DE,,R13
BE,Y17,,,,H6.1,,8.0,,FR,,R3
BE,Y17,,,,H6.1,,67.0,,LU,,R5
BE,Y18,,,,H13,,577.0,,NL,,R5
BE,Y18,,,,H6.1,,82.0,,DE,,R7
BE,Y18,,,,H6.1,,486.0,,FR,,R7
BE,Y18,,,,H6.1,,28.0,,LU,,R5
BE,Y18,,,,H6.1,,112.0,,FR,,R4
BE,Y18,,,,H6.1,,480.0,,NL,,R5
BE,Y18,,,,H6.1,,485.0,,FR,,R4
BE,Y18,,,,H6.1,,2930.0,,DE,,R4
BE,Y18,,,,H6.1,,230.0,,LU,,R5
BE,Y18,,,,H6.1,,1340.0,,CH,,R4
BE,Y18,,,,H6.1,,996.0,,NL,,R4
BE,Y18,,,,H6.1,,96.0,,CA,,R4
BE,Y18,,,,H6.1,,20.0,,IE,,R13
BE,Y18,,,,H6.1,,25.0,,IE,,R5
BE,Y18,,,,H6.1,,10260.0,,NL,,R13
BE,Y18,,,,H6.1,,360.0,,FR,,R4
BE,Y18,,,,H6.1,,170.0,,NL,,R4
BE,Y18,,,,H6.1,,6690.0,,DE,,R1
BE,Y18,,,,H6.1,,3035.0,,DE,,R3
BE,Y18,,,,H6.1,,368.0,,DE,,R12
BE,Y18,,,,H6.1,,940.0,,NL,,R13
BE,Y18,,,,H6.1,,1907.0,,NL,,R3
BE,Y18,,,,H6.1,,97.0,,DE,,R13
BE,Y18,,,,H6.1,,103.0,,GB,,R1
BE,Y18,,,,H6.1,,1170.0,,NL,,R13
BE,Y18,,,,H6.1,,166.0,,NL,D13,
BE,Y18,,,,H6.1,,21.0,,NL,,R12
BE,Y18,,,,H6.1,,90.0,,LU,,R5
BE,Y18,,,,H6.1,,54.0,,LU,,R4
BE,Y18,,,,H6.1,,550.0,,NL,,R1
BE,Y18,,,,H6.1,,4890.0,,NL,,R1
BE,Y18,,,,H6.1,,612.0,,GB,,R3
BE,Y18,,,,H6.1,,11430.0,,DE,,R1
BE,Y18,,,,H6.1,,3855.0,,DE,,R13
BE,Y18,,,,H6.1,,163.0,,AT,,R3
BE,Y18,,,,H6.1,,4105.0,,DE,,R3
BE,Y18,,,,H6.1,,40.0,,DE,,R12
BE,Y18,,,,H6.1,,1708.0,,FR,,R1
BE,Y18,,,,H6.1,,303.0,,GB,,R3
BE,Y18,,,,H6.1,,386.0,,NL,,R13
BE,Y18,,,,H6.1,,33.0,,NL,,R13
BE,Y18,,,,H6.1,,238.0,,LU,,R4
BE,Y18,,,,H6.1,,68.0,,NL,D9,
BE,Y18,,,,H6.1,,181.0,,NL,,R4
BE,Y18,,,,H6.1,,40.0,,FR,,R5
BE,Y18,,,,H6.1,,2087.0,,FR,,R1
BE,Y18,,,,H6.1,,316.0,,FR,,R9
BE,Y18,,,,H6.1,,2440.0,,NL,D10,
BE,Y18,,,,H6.1,,920.0,,LU,,R1
BE,Y18,,,,H6.1,,510.0,,NL,D10,
BE,Y18,,,,H6.1,,345.0,,FR,,R5
BE,Y18,,,,H6.1,,110.0,,IE,,R4
BE,Y18,,,,H6.1,,693.0,,FR,,R12
BE,Y18,,,,H6.1,,1200.0,,DE,,R7
BE,Y18,,,,H6.1,,312.0,,FR,,R7
BE,Y18,,,,H6.1,,33.0,,NL,,R7
BE,Y18,,,,H6.1,,254.0,,FR,,R9
BE,Y18,,,,H6.1,,25.0,,ES,,R7
BE,Y18,,,,H6.1,,710.0,,DE,,R4
BE,Y18,,,,H6.1,,3527.0,,DE,,R4
BE,Y18,,,,H6.1,,5945.0,,IT,,R4
BE,Y18,,,,H6.1,,10890.0,,NL,,R4
BE,Y18,,,,H6.1,,7430.0,,DE,,R4
BE,Y18,,,,H6.1,,2860.0,,NL,,R1
BE,Y18,,,,H6.1,,1210.0,,LU,,R9
BE,Y18,,,,H6.1,,6055.0,,NL,,R13
BE,Y18,,,,H6.1,,178.0,,DE,,R13
BE,Y18,,,,H6.1,,8800.0,,DE,,R1
BE,Y18,,,,H6.1,,6143.0,,NL,,R1
BE,Y18,,,,H6.1,,20.0,,IE,,R1
BE,Y18,,,,H6.1,,733.0,,DE,,R1
BE,Y18,,,,H6.1,,71.0,,IE,,R3
BE,Y18,,,,H6.1,,204.0,,IT,,R1
BE,Y18,,,,H6.1,,984.0,,DE,,R3
BE,Y18,,,,H6.1,,38.0,,GB,,R3
BE,Y18,,,,H6.1,,4445.0,,NL,,R1
BE,Y18,,,,H6.1,,758.0,,NL,,R13
BE,Y18,,,,H6.1,,46.0,,FR,,R13
BE,Y18,,,,H6.1,,3745.0,,FR,,R1
BE,Y18,,,,H6.1,,1133.0,,DE,,R4
BE,Y18,,,,H6.1,,27.0,,DE,,R7
BE,Y22,,,,H13,,60.0,,AU,,R4
BE,Y22,,,,H6.1,,187.0,,CA,,R4
BE,Y22,,,,H6.1,,35.0,,TW,,R4
BE,Y22,,,,H6.1,,1923.0,,AT,,R4
BE,Y22,,,,H6.1,,1815.0,,SK,,R4
BE,Y22,,,,H6.1,,40.0,,FR,,R4
BE,Y22,,,,H6.1,,35.0,,NL,,R4
BE,Y22,,,,H11,,60.0,,AU,,R4
BE,Y22,,,,H11,,1823.0,,FR,,R4
BE,Y22,,,,H11,,90.0,,FR,,R4
BE,Y23,,,,H11,,138.0,,IE,,R4
BE,Y23,,,,H11,,1032.0,,LU,,R4
BE,Y23,,,,H11,,27.0,,NO,,R4
BE,Y23,,,,H6.1,,360.0,,FR,,R4
BE,Y23,,,,H6.1,,1230.0,,IT,,R13
BE,Y23,,,,H6.1,,19.0,,FR,,R5
BE,Y29,,,,H6.1,,1.0,,FR,,R4
BE,Y31,,,,H6.1,,640.0,,DE,,R4
BE,Y31,,,,H6.1,,210.0,,CA,,R4
BE,Y31,,,,H6.1,,4450.0,,DE,,R4
BE,Y31,,,,H6.1,,96.0,,CA,,R4
BE,Y31,,,,H13,,81.0,,DE,,R7
BE,Y31,,,,H13,,225.0,,LU,,R4
BE,Y31,,,,H13,,120.0,,FR,,R7
BE,Y31,,,,H13,,35.0,,IE,,R13
BE,Y31,,,,H13,,100.0,,DE,,R6
BE,Y31,,,,H13,,39.0,,NL,,R7
BE,Y31,,,,H13,,53.0,,PL,,R7
BE,Y34,,,,H8,,2914.0,,NL,D9,
BE,Y34,,,,H8,,2441.0,,FR,,R5
BE,Y34,,,,H8,,300.0,,NL,,R4
BE,Y34,,,,H8,,69.0,,IE,,R6
BE,Y34,,,,H8,,172.0,,FR,,R12
BE,Y34,,,,H8,,37.0,,DE,D9,
BE,Y34,,,,H8,,26.0,,LU,D14,
BE,Y34,,,,H8,,180.0,,IE,,R6
BE,Y34,,,,H8,,147.0,,FR,,R4
BE,Y34,,,,H8,,44.0,,GB,,R7
BE,Y34,,,,H8,,230.0,,FR,,R12
BE,Y35,,,,H6.1,,1154.0,,NL,,R5
BE,Y35,,,,H8,,105.0,,FR,,R1
BE,Y35,,,,H8,,55.0,,DE,,R7
BE,Y35,,,,H8,,23.0,,FR,,R5
BE,Y35,,,,H8,,58.0,,CH,,R4
BE,Y35,,,,H8,,24.0,,FR,,R4
BE,Y35,,,,H8,,94.0,,LU,,R5
BE,Y41,,,,H6.1,,323.0,,NL,,R13
BE,Y41,,,,H6.1,,1687.0,,IE,,R1
BE,Y41,,,,H6.1,,1778.0,,NL,,R3
BE,Y41,,,,H6.1,,400.0,,NL,,R1
BE,Y41,,,,H6.1,,110.0,,FR,,R12
BE,Y41,,,,H6.1,,217.0,,NL,,R12
BE,Y41,,,,H6.1,,62.0,,LU,,R13
BE,Y41,,,,H6.1,,1726.0,,DE,,R3
BE,Y41,,,,H6.1,,36.0,,LU,,R3
BE,Y46,,,,H6.1,,35.0,,LU,,R5
BE,Y46,,,,H6.1,,7.0,,LU,,R1
BE,Y46,,,,H6.1,,1483.0,,FR,,R1
BE,Y46,,,,H6.1,,15.0,,IE,,R13
BE,Y46,,,,H6.1,,82.0,,LU,,R13
BE,Y46,,,,H6.1,,1325.0,,NL,,R13
BE,Y46,,,,H6.1,,1350.0,,NL,,R12
BE,Y46,,,,H6.1,,562.0,,FR,,R3
BE,Y46,,,,H6.1,,68.0,,FR,,R4
BE,Y46,,,,H6.1,,5.0,,FR,,R12
BE,Y46,,,,H6.1,,705.0,,FR,,R13
BE,Y46,,,,H6.1,,19.0,,FR,,R13
BE,Y46,,,,H6.1,,7.0,,FR,,R4
BE,Y46,,,,H6.1,,186.0,,LU,,R3
BE,Y46,,,,H6.1,,763.0,,NL,,R13
BE,Y46,,,,H6.1,,193.0,,NL,,R13
BE,Y46,,,,H6.1,,100.0,,LU,,R3
BE,Y46,,,,H6.1,,12.0,,LU,,R4
BE,Y46,,,,H6.1,,106.0,,GR,,R4
BE,Y46,,,,H11,,163.0,,DE,,R4
BE,Y46,,,,H11,,300.0,,NL,,R4
BE,Y46,,,,H11,,720.0,,GB,,R4
BG,Y31,"Use lead acid batteries, whole or crushed",A1160,8.0,H8,Solid,200.0,,MK,,R4
BG,Y31,"Use lead acid batteries, whole or crushed",A1160,8.0,H8,Solid,1000.0,,RO,,R4
BG,Y31,Zink copper oxide,AA020,9.0,H4.3,Solid,1260.0,BE,NL,,R4
BG,Y31,Zink copper oxide,AA020,n/a,n/a,Solid,4400.0,BE,NL,,R4
BG,Y31,Zink copper oxide,AA020,4.3,H4.3,Solid,1260.0,BE,NL,,R4
BG,Y31,Zink copper oxide,AA020,4.3,H4.3,Solid,2500.0,BE,NL,,R4
BG,Y31,Zink copper oxide,AA020,4.3,H4.3,Solid,300.0,BE,NL,,R4
BG,Y31,Zink copper oxide,AA020,4.3,H4.3,Solid,500.0,BE,NL,,R4
BG,Y31,Zink copper oxide,AA020,4.3,H4.3,Solid,500.0,BE,NL,,R4
BG,Y31,"Use lead acid batteries, whole or crushed",A1160,8.0,H8,Solid,2000.0,,MK,,R4
BG,Y31,"Use lead acid batteries, whole or crushed",A1160,8.0,H8,Solid,2000.0,,MK,,R4
BG,Y22,Zink copper oxide,AA020,9.0,H4.3,Solid,3000.0,,TR,,R4
BG,Y31,"Use lead acid batteries, whole or crushed",AA170,8.0,H8.12,Solid,2000.0,,MK,,R4
